,NAME,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1300,"Egypt, Arab Rep.",EGY,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,100,100,100,100,100,100,100,100,100,100,100,100,90
1329,Eritrea,ERI,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,20,20,10,10,0,0,0,0,0,0,0,0,0
1358,Ethiopia,ETH,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,60,60,80,80,80,70,70,70,70,80,80,80
1387,Fiji,FJI,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,40,40,40,40,50,60,80,80,80,80,70,70,80
1416,"Micronesia, Fed. Sts.",FSM,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,20,20,20,20,20,20,20,20,20,20,20,30,30
1445,Gabon,GAB,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,50,40,40,40,40,40,40,20,30,30,30,30,20
1474,Georgia,GEO,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,100,100,100,100,100,100,100,100,100,70,90,90,80
1503,Ghana,GHA,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,40,50,50,50,50,50,40,40,40,40,50,60,50
1532,Guinea,GIN,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,70,60,60,50,50,50,50,50,30,30,50,50,40
1561,"Gambia, The",GMB,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,70,70,70,70,70,60,60,60
1590,Guinea-Bissau,GNB,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,20,20,20,20,20,50,50,50,50,30,30,30,40
1619,Equatorial Guinea,GNQ,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,20,20,20,20,20,20,20,20,20,20,20,40,40
1648,Grenada,GRD,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,40,40,40,40,40,40,40,40,60,60,60
1677,Guatemala,GTM,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,100,100,100,100,100,100,100,90,90,80,80,80,90
1706,Guyana,GUY,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,30,30,40,50,50,40,40,30,30,30,30,40,40
1735,Honduras,HND,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,80,80,80,80,80,80,60,80,80,80,80
1764,Croatia,HRV,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,100,100,90,90,90,90,90,90,90,80,80,80,80
1793,Haiti,HTI,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,30,30,30,30,30,30,30,20,30,50,50,30,20
1822,Indonesia,IDN,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,80,80,80,80,80,80,80,80
1851,India,IND,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,80,80,80,80,80,80,80,80
1880,"Iran, Islamic Rep.",IRN,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,70,70,80,80,80,70,80,80,80,80,80,80,80
1909,Iraq,IRQ,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,50,50,60,70,50,50,50,60,60,60,60,60,60
1938,Jamaica,JAM,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,80,100,80,80,80,80,80,80
1967,Jordan,JOR,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,70,70,70,70,70,70,70,70,70,70,70,70,80
1996,Kazakhstan,KAZ,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,100,100,100,100,90,100,100,90,90,90,100
2025,Kenya,KEN,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,50,50,60,60,50,50,50,50,50,50,50,50,40
2054,Kyrgyz Republic,KGZ,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,100,100,100,100,90,80,80,80,80,90,70,80,80
2083,Cambodia,KHM,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,60,60,60,60,60,60,60,80,80,80,80
2112,Kiribati,KIR,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,20,20,20,20,20,20,20,20,20,20,20,20,20
2141,St. Kitts and Nevis,KNA,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,60,60,60,60,60,40,40,40,40,40,40
2170,Lao PDR,LAO,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,70,70,70,70,80,80,60,70,70,70,70,60,60
2199,Lebanon,LBN,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,30,30,40,40,40,40,60,70,70,70,70,70,70
2228,Liberia,LBR,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,0,0,0,10,30,30,40,40,40,50,50,60,60
2257,Libya,LBY,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,40,40,40,40,40,40,40,40,20,20,20,20,20
2286,St. Lucia,LCA,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,60,60,60,60,60,60,70,70,80,80,60
2315,Sri Lanka,LKA,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,100,90,100,100,100,100,90,90,90,80,80,80,80
2344,Lesotho,LSO,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,70,70,60,60,60,60,60,70,70,70,60,60,60
2373,Morocco,MAR,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,60,60,60,60,50,70,70,80,80,70
2402,Moldova,MDA,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,90,80,80,80,70,70,70,80,90,90,90,90,80
2431,Madagascar,MDG,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,60,60,60,60,60,60,50,50,40,50,30
2460,Maldives,MDV,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,70,70,70,70,50,60,70,70,60,60,60,40,40
2489,Mexico,MEX,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,50,50,50,70,70,70,70,70,70,60,80,100,100
2518,Marshall Islands,MHL,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,30,30,40,50,50,50,50,50,50,40,40,30,30
2547,"Macedonia, FYR",MKD,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,70,70,90,90,90,90,90,90,90,90,90,80
2576,Mali,MLI,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,80,80,80,80,80,80,80,80,80,80,80,80
2605,Myanmar,MMR,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,50,50,40,40,30,40,40,30,30,20,50,50,80
2634,Montenegro,MNE,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,80,100,90,90,90,90,90,80
2663,Mongolia,MNG,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,80,80,80,100,100,100,100,100
2692,Mozambique,MOZ,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,80,80,80,80,70,50,60,70
2721,Mauritania,MRT,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,60,50,60,60,60,30,30,50,50,40,40
2750,Mauritius,MUS,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,60,70,70,70,80,80,70,80,100,90,80
2779,Malawi,MWI,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,50,60,80,80,80,80,80,80,80,80,80,80,80
2808,Malaysia,MYS,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,80,80,80,80,80,80,80,80,80,80,80,80
2837,Namibia,NAM,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,50,50,60,60,40,40,50,50,50,40,40,60,60
2866,Niger,NER,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,70,70,70,70,80,80,80,80,80,80,80,80
2895,Nigeria,NGA,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,40,40,60,80,80,80,80,80,80,80,80,80,80
2924,Nicaragua,NIC,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,80,80,80,60,60,70,70,70
2953,Nepal,NPL,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,70,70,70,80,80,80,80,80,70,80
3011,Pakistan,PAK,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,60,60,60,60,60,60,60,60
3040,Panama,PAN,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,80,80,80,80,80,80,80,80
3069,Peru,PER,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,60,60,60,60,60,60,80,100,80,80,80
3098,Philippines,PHL,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,100,100,100,100,100,100,100,100,100,100,100,100,100
3127,Palau,PLW,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,40,40,40,40,40,40,40,40,40,40,40,50,50
3156,Papua New Guinea,PNG,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,20,30,30,20,20,20,20,20,20,30,30,40,30
3185,Poland,POL,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,80,80,80,80,80,80,80,80
3214,Paraguay,PRY,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,50,60,60,60,80,80,80,80,80,80,80,80,80
3272,Romania,ROU,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,100,100,100,100,100,100,100,90,80,80,80,80,80
3301,Russian Federation,RUS,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,100,80,100,100,100,100,100,100,100,100,90,80,80
3330,Rwanda,RWA,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,60,60,80,80,80,80,80,80,70,70,80
3359,Sudan,SDN,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,0,0,10,10,30,30,30,30,30,30,30,60,70
3388,Senegal,SEN,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,70,70,70,70,70,50,50,70,80,80,80,80
3417,Solomon Islands,SLB,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,20,20,20,20,20,20,20,20,40,40,40,50,50
3446,Sierra Leone,SLE,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,40,40,40,50,50,50,50,60,60,60,50,50,50
3475,El Salvador,SLV,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,60,80,100,100,100,100,100,100,100,100,100
3504,Somalia,SOM,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,20,20,20,20,20,20,10,20,20,10,10,10,10
3533,Serbia,SRB,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,80,80,80,100,100,100,100,100
3591,Sao Tome and Principe,STP,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,70,70,80,60,60,60,80,80,70,70,80
3620,Suriname,SUR,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,50,50,60,60,90,90,90,80,70,70,70,70,80
3649,Swaziland,SWZ,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,70,70,70,70,70,70,60,50,50,40,40
3678,Seychelles,SYC,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,70,70,70,80,80,60,50,60,60,60,60,70,70
3707,Syrian Arab Republic,SYR,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,40,40,40,40,40,40,30,20,20,30,30,30,20
3736,Chad,TCD,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,40,40,30,30,30,50,50,80,80,60,60,50,50
3765,Togo,TGO,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,40,40,40,20,20,30,30,50,70,70,70,70,70
3794,Thailand,THA,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,80,80,80,80,80,80,80,80
3823,Tajikistan,TJK,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,100,80,80,80,80,60,60,60,60,60,80,80,80
3852,Turkmenistan,TKM,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,40,40,40,30,30,50,50,50,30,30,30
3881,Timor-Leste,TLS,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,50,50,50,60,60,60,60,50,70,60,60,70,70
3910,Tonga,TON,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,60,60,60,70,70,70,40,40,40,40,40
3939,Trinidad and Tobago,TTO,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,70,70,70,70,70,70,70,70,70,70,50
3968,Tunisia,TUN,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,70,70,70,70,70,70,70,70,70,60,70,70,40
3997,Turkey,TUR,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,80,80,80,80,80,70,70,70
4055,Tanzania,TZA,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,60,70,70,80,80,80,80,80,80,80,80
4084,Uganda,UGA,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,60,60,60,80,80,80,80,60,80,80,80
4113,Ukraine,UKR,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,80,80,80,80,80,80,60,50
4142,Uruguay,URY,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,100,100,100,100,100,100,100,100,100,100,100,100,100
4171,Uzbekistan,UZB,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,60,60,60,60,60,50,50,30,30,30,30
4200,St. Vincent and the Grenadines,VCT,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,60,60,60,60,60,40,40,40,40,40,40
4229,"Venezuela, RB",VEN,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,90,90,90,90,90,80,80,80,80,80,60
4258,Vietnam,VNM,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,80,100,100,100,100,100,100,100
4287,Vanuatu,VUT,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,20,20,30,50,50,40,40,40,40,40,50,70,70
4316,Samoa,WSM,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,50,50,50,50,40,40,40,40,40,40,40,50,60
4374,"Yemen, Rep.",YEM,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,50,60,60,60,50,40,40,40,40,40,30,30,10
4403,South Africa,ZAF,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80,80,80,80,80,80,80,60,80,80,80,80,70
4432,Zambia,ZMB,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,60,60,60,60,60,60,60,60,60,60,60,50,50
4461,Zimbabwe,ZWE,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,50,50,40,40,50,60,60,60,60,60,60,60,60
